transect_no,site_no,site_name,year,date,distance,species1,cover1,species2,cover2,species3,cover3,species4,cover4
1,LTO8,CAVES,2017,06/01/2017,0,NA,0,NA,0,NA,0,NA,0
1,LTO8,CAVES,2017,06/01/2017,2.5,Favia,55,NA,0,NA,0,NA,0
1,LTO8,CAVES,2017,06/01/2017,5,Porites,11,NA,0,NA,0,NA,0
1,LTO8,CAVES,2017,06/01/2017,7.5,Porites,22,NA,0,NA,0,NA,0
1,LTO8,CAVES,2017,06/01/2017,10,NA,0,NA,0,NA,0,NA,0
1,LTO8,CAVES,2017,06/01/2017,12.5,Porites,44,NA,0,NA,0,NA,0
1,LTO8,CAVES,2017,06/01/2017,15,NA,0,NA,0,NA,0,NA,0
1,LTO8,CAVES,2017,06/01/2017,17.5,Porites,60,NA,0,NA,0,NA,0
1,LTO8,CAVES,2017,06/01/2017,20,NA,0,NA,0,NA,0,NA,0
1,LTO8,CAVES,2017,06/01/2017,22.5,NA,0,NA,0,NA,0,NA,0
1,LTO8,CAVES,2017,06/01/2017,25,NA,0,NA,0,NA,0,NA,0
2,LTO8,CAVES,2017,6/13/2017,0,NA,0,NA,0,NA,0,NA,0
2,LTO8,CAVES,2017,6/13/2017,2.5,Porites,11,NA,0,NA,0,NA,0
2,LTO8,CAVES,2017,6/13/2017,5,Porites,33,NA,0,NA,0,NA,0
2,LTO8,CAVES,2017,6/13/2017,7.5,Lobophyllia,11,NA,0,NA,0,NA,0
2,LTO8,CAVES,2017,6/13/2017,10,Porites,77,NA,0,NA,0,NA,0
2,LTO8,CAVES,2017,6/13/2017,12.5,NA,0,NA,0,NA,0,NA,0
2,LTO8,CAVES,2017,6/13/2017,15,Porites,100,NA,0,NA,0,NA,0
2,LTO8,CAVES,2017,6/13/2017,17.5,NA,0,NA,0,NA,0,NA,0
2,LTO8,CAVES,2017,6/13/2017,20,NA,0,NA,0,NA,0,NA,0
2,LTO8,CAVES,2017,6/13/2017,22.5,NA,0,NA,0,NA,0,NA,0
2,LTO8,CAVES,2017,6/13/2017,25,NA,0,NA,0,NA,0,NA,0
3,LTO13,PAO,2017,6/13/2017,0,NA,0,NA,0,NA,0,NA,0
3,LTO13,PAO,2017,6/13/2017,2.5,NA,0,NA,0,NA,0,NA,0
3,LTO13,PAO,2017,6/13/2017,5,NA,0,NA,0,NA,0,NA,0
3,LTO13,PAO,2017,6/13/2017,7.5,Favia,11,NA,0,NA,0,NA,0
3,LTO13,PAO,2017,6/13/2017,10,NA,0,NA,0,NA,0,NA,0
3,LTO13,PAO,2017,6/13/2017,12.5,Favia,11,Porites,11,NA,0,NA,0
3,LTO13,PAO,2017,6/13/2017,15,Porites,11,NA,0,NA,0,NA,0
3,LTO13,PAO,2017,6/13/2017,17.5,NA,0,NA,0,NA,0,NA,0
3,LTO13,PAO,2017,6/13/2017,20,Acropora ,33,NA,0,NA,0,NA,0
3,LTO13,PAO,2017,6/13/2017,22.5,NA,0,NA,0,NA,0,NA,0
3,LTO13,PAO,2017,6/13/2017,25,Lobophytum ,22,NA,0,NA,0,NA,0
4,LTO10,DEVILS,2017,6/15/2017,0,NA,0,NA,0,NA,0,NA,0
4,LTO10,DEVILS,2017,6/15/2017,2.5,NA,0,NA,0,NA,0,NA,0
4,LTO10,DEVILS,2017,6/15/2017,5,NA,0,NA,0,NA,0,NA,0
4,LTO10,DEVILS,2017,6/15/2017,7.5,NA,0,NA,0,NA,0,NA,0
4,LTO10,DEVILS,2017,6/15/2017,10,NA,0,NA,0,NA,0,NA,0
4,LTO10,DEVILS,2017,6/15/2017,12.5,Lobophytum ,11,NA,0,NA,0,NA,0
4,LTO10,DEVILS,2017,6/15/2017,15,NA,0,NA,0,NA,0,NA,0
4,LTO10,DEVILS,2017,6/15/2017,17.5,Lobophytum ,11,Pocllipora,22,NA,0,NA,0
4,LTO10,DEVILS,2017,6/15/2017,20,Lobophytum ,11,NA,0,NA,0,NA,0
4,LTO10,DEVILS,2017,6/15/2017,22.5,Sinularia,44,Porites,11,NA,0,NA,0
4,LTO10,DEVILS,2017,6/15/2017,25,NA,0,NA,0,NA,0,NA,0
5,LTO10,DEVILS,2017,6/17/2017,0,NA,0,NA,0,NA,0,NA,0
5,LTO10,DEVILS,2017,6/17/2017,2.5,NA,0,NA,0,NA,0,NA,0
5,LTO10,DEVILS,2017,6/17/2017,5,NA,0,NA,0,NA,0,NA,0
5,LTO10,DEVILS,2017,6/17/2017,7.5,NA,0,NA,0,NA,0,NA,0
5,LTO10,DEVILS,2017,6/17/2017,10,NA,0,NA,0,NA,0,NA,0
5,LTO10,DEVILS,2017,6/17/2017,12.5,NA,0,NA,0,NA,0,NA,0
5,LTO10,DEVILS,2017,6/17/2017,15,NA,0,NA,0,NA,0,NA,0
5,LTO10,DEVILS,2017,6/17/2017,17.5,Lobophytum ,11,NA,0,NA,0,NA,0
5,LTO10,DEVILS,2017,6/17/2017,20,NA,0,NA,0,NA,0,NA,0
5,LTO10,DEVILS,2017,6/17/2017,22.5,NA,0,NA,0,NA,0,NA,0
5,LTO10,DEVILS,2017,6/17/2017,25,NA,0,NA,0,NA,0,NA,0
6,LTO8,CAVES,2017,6/21/2017,0,NA,0,NA,0,NA,0,NA,0
6,LTO8,CAVES,2017,6/21/2017,2.5,Lobophytum ,11,NA,0,NA,0,NA,0
6,LTO8,CAVES,2017,6/21/2017,5,NA,0,NA,0,NA,0,NA,0
6,LTO8,CAVES,2017,6/21/2017,7.5,NA,0,NA,0,NA,0,NA,0
6,LTO8,CAVES,2017,6/21/2017,10,Pocillopora,11,NA,0,NA,0,NA,0
6,LTO8,CAVES,2017,6/21/2017,12.5,Porites,22,NA,0,NA,0,NA,0
6,LTO8,CAVES,2017,6/21/2017,15,NA,0,NA,0,NA,0,NA,0
6,LTO8,CAVES,2017,6/21/2017,17.5,Porites,33,NA,0,NA,0,NA,0
6,LTO8,CAVES,2017,6/21/2017,20,NA,0,NA,0,NA,0,NA,0
